,dates
0,23-02-1945
1,30-03-1945
2,10-04-1945
3,11-04-1945
4,12-04-1945
5,13-04-1945
6,14-04-1945
7,07-05-1945
8,08-05-1945
9,09-05-1945
10,11-05-1945
11,12-05-1945
12,14-05-1945
13,15-05-1945
14,16-05-1945
15,17-05-1945
16,18-05-1945
17,19-05-1945
18,22-05-1945
19,23-05-1945
20,24-05-1945
21,25-05-1945
22,26-05-1945
23,28-05-1945
24,29-05-1945
25,30-05-1945
26,31-05-1945
27,01-06-1945
28,02-06-1945
29,04-06-1945
30,05-06-1945
31,06-06-1945
32,07-06-1945
33,08-06-1945
34,09-06-1945
35,11-06-1945
36,12-06-1945
37,13-06-1945
38,14-06-1945
39,15-06-1945
40,16-06-1945
41,18-06-1945
42,19-06-1945
43,20-06-1945
44,21-06-1945
45,22-06-1945
46,23-06-1945
47,25-06-1945
48,26-06-1945
49,27-06-1945
50,28-06-1945
51,29-06-1945
52,30-06-1945
53,02-07-1945
54,03-07-1945
55,04-07-1945
56,05-07-1945
57,06-07-1945
58,07-07-1945
59,09-07-1945
60,10-07-1945
61,11-07-1945
62,12-07-1945
63,13-07-1945
64,14-07-1945
65,16-07-1945
66,17-07-1945
67,18-07-1945
68,19-07-1945
69,20-07-1945
70,21-07-1945
71,23-07-1945
72,24-07-1945
73,25-07-1945
74,26-07-1945
75,27-07-1945
76,28-07-1945
77,30-07-1945
78,31-07-1945
79,01-08-1945
80,02-08-1945
81,03-08-1945
82,04-08-1945
83,06-08-1945
84,07-08-1945
85,08-08-1945
86,09-08-1945
87,10-08-1945
88,11-08-1945
89,13-08-1945
90,14-08-1945
91,15-08-1945
92,16-08-1945
93,17-08-1945
94,18-08-1945
95,20-08-1945
96,21-08-1945
97,22-08-1945
98,23-08-1945
99,24-08-1945
100,25-08-1945
101,27-08-1945
102,28-08-1945
103,29-08-1945
104,30-08-1945
105,19-04-1946
106,30-04-1946
107,04-05-1946
108,04-04-1947
109,05-05-1947
110,26-03-1948
111,01-07-1948
112,02-07-1948
113,03-07-1948
114,05-07-1948
115,06-07-1948
116,07-07-1948
117,08-07-1948
118,09-07-1948
119,10-07-1948
120,12-07-1948
121,13-07-1948
122,14-07-1948
123,15-07-1948
124,16-07-1948
125,17-07-1948
126,19-07-1948
127,20-07-1948
128,21-07-1948
129,22-07-1948
130,23-07-1948
131,24-07-1948
132,26-07-1948
133,27-07-1948
134,28-07-1948
135,29-07-1948
136,30-07-1948
137,31-07-1948
138,02-08-1948
139,03-08-1948
140,04-08-1948
141,05-08-1948
142,06-08-1948
143,07-08-1948
144,09-08-1948
145,10-08-1948
146,11-08-1948
147,12-08-1948
148,13-08-1948
149,14-08-1948
150,16-08-1948
151,17-08-1948
152,18-08-1948
153,19-08-1948
154,20-08-1948
155,21-08-1948
156,23-08-1948
157,24-08-1948
158,25-08-1948
159,26-08-1948
160,27-08-1948
161,28-08-1948
162,30-08-1948
163,01-09-1948
164,02-09-1948
165,03-09-1948
166,04-09-1948
167,06-09-1948
168,07-09-1948
169,08-09-1948
170,09-09-1948
171,10-09-1948
172,11-09-1948
173,13-09-1948
174,14-09-1948
175,15-09-1948
176,16-09-1948
177,17-09-1948
178,18-09-1948
179,20-09-1948
180,21-09-1948
181,22-09-1948
182,23-09-1948
183,24-09-1948
184,25-09-1948
185,27-09-1948
186,28-09-1948
187,29-09-1948
188,30-09-1948
189,01-10-1948
190,02-10-1948
191,04-10-1948
192,05-10-1948
193,06-10-1948
194,07-10-1948
195,08-10-1948
196,09-10-1948
197,11-10-1948
198,12-10-1948
199,13-10-1948
200,14-10-1948
201,15-10-1948
202,16-10-1948
203,18-10-1948
204,19-10-1948
205,20-10-1948
206,21-10-1948
207,22-10-1948
208,23-10-1948
209,25-10-1948
210,26-10-1948
211,27-10-1948
212,28-10-1948
213,29-10-1948
214,30-10-1948
215,01-11-1948
216,02-11-1948
217,03-11-1948
218,04-11-1948
219,05-11-1948
220,06-11-1948
221,08-11-1948
222,09-11-1948
223,10-11-1948
224,11-11-1948
225,12-11-1948
226,13-11-1948
227,15-11-1948
228,16-11-1948
229,17-11-1948
230,18-11-1948
231,19-11-1948
232,20-11-1948
233,22-11-1948
234,23-11-1948
235,24-11-1948
236,25-11-1948
237,26-11-1948
238,27-11-1948
239,29-11-1948
240,30-11-1948
241,01-12-1948
242,02-12-1948
243,03-12-1948
244,04-12-1948
245,06-12-1948
246,07-12-1948
247,08-12-1948
248,09-12-1948
249,10-12-1948
250,11-12-1948
251,13-12-1948
252,14-12-1948
253,15-12-1948
254,16-12-1948
255,17-12-1948
256,18-12-1948
257,20-12-1948
258,21-12-1948
259,22-12-1948
260,23-12-1948
261,24-12-1948
262,27-12-1948
263,28-12-1948
264,29-12-1948
265,30-12-1948
266,31-12-1948
267,15-04-1949
268,07-04-1950
269,23-03-1951
270,02-07-1951
271,03-07-1951
272,04-07-1951
273,05-07-1951
274,06-07-1951
275,07-07-1951
276,09-07-1951
277,10-07-1951
278,11-07-1951
279,12-07-1951
280,13-07-1951
281,14-07-1951
282,16-07-1951
283,17-07-1951
284,18-07-1951
285,19-07-1951
286,20-07-1951
287,21-07-1951
288,23-07-1951
289,24-07-1951
290,25-07-1951
291,26-07-1951
292,27-07-1951
293,28-07-1951
294,30-07-1951
295,31-07-1951
296,01-08-1951
297,02-08-1951
298,03-08-1951
299,04-08-1951
300,06-08-1951
301,07-08-1951
302,08-08-1951
303,09-08-1951
304,10-08-1951
305,11-08-1951
306,13-08-1951
307,14-08-1951
308,15-08-1951
309,16-08-1951
310,17-08-1951
311,18-08-1951
312,20-08-1951
313,21-08-1951
314,22-08-1951
315,23-08-1951
316,24-08-1951
317,25-08-1951
318,27-08-1951
319,28-08-1951
320,29-08-1951
321,30-08-1951
322,31-08-1951
323,01-09-1951
324,03-09-1951
325,04-09-1951
326,05-09-1951
327,06-09-1951
328,07-09-1951
329,08-09-1951
330,10-09-1951
331,11-09-1951
332,12-09-1951
333,13-09-1951
334,14-09-1951
335,15-09-1951
336,17-09-1951
337,18-09-1951
338,19-09-1951
339,20-09-1951
340,21-09-1951
341,22-09-1951
342,24-09-1951
343,25-09-1951
344,26-09-1951
345,27-09-1951
346,28-09-1951
347,29-09-1951
348,01-10-1951
349,02-10-1951
350,03-10-1951
351,04-10-1951
352,05-10-1951
353,06-10-1951
354,08-10-1951
355,09-10-1951
356,10-10-1951
357,11-10-1951
358,12-10-1951
359,13-10-1951
360,15-10-1951
361,16-10-1951
362,17-10-1951
363,18-10-1951
364,19-10-1951
365,20-10-1951
366,22-10-1951
367,23-10-1951
368,24-10-1951
369,25-10-1951
370,26-10-1951
371,27-10-1951
372,29-10-1951
373,30-10-1951
374,31-10-1951
375,01-11-1951
376,02-11-1951
377,03-11-1951
378,05-11-1951
379,06-11-1951
380,07-11-1951
381,08-11-1951
382,09-11-1951
383,10-11-1951
384,12-11-1951
385,13-11-1951
386,14-11-1951
387,15-11-1951
388,16-11-1951
389,17-11-1951
390,19-11-1951
391,20-11-1951
392,21-11-1951
393,22-11-1951
394,23-11-1951
395,24-11-1951
396,26-11-1951
397,27-11-1951
398,28-11-1951
399,29-11-1951
400,30-11-1951
401,01-12-1951
402,03-12-1951
403,04-12-1951
404,05-12-1951
405,06-12-1951
406,07-12-1951
407,08-12-1951
408,10-12-1951
409,11-12-1951
410,12-12-1951
411,13-12-1951
412,14-12-1951
413,15-12-1951
414,17-12-1951
415,18-12-1951
416,19-12-1951
417,20-12-1951
418,21-12-1951
419,22-12-1951
420,24-12-1951
421,27-12-1951
422,28-12-1951
423,29-12-1951
424,31-12-1951
425,26-02-1952
426,15-03-1952
427,29-03-1952
428,11-04-1952
429,12-04-1952
430,03-05-1952
431,18-10-1952
432,03-04-1953
433,30-05-1953
434,16-04-1954
435,02-06-1954
436,29-06-1954
437,08-04-1955
438,30-03-1956
439,05-05-1956
440,22-09-1956
441,19-04-1957
442,01-11-1957
443,04-04-1958
444,27-03-1959
445,21-09-1959
446,15-04-1960
447,16-04-1960
448,31-03-1961
449,08-07-1961
450,12-12-1961
451,20-04-1962
452,12-02-1963
453,12-04-1963
454,11-10-1963
455,12-10-1963
456,27-03-1964
457,02-11-1964
458,03-11-1964
459,04-11-1964
460,05-11-1964
461,06-11-1964
462,07-11-1964
463,09-11-1964
464,10-11-1964
465,11-11-1964
466,12-11-1964
467,13-11-1964
468,14-11-1964
469,16-11-1964
470,17-11-1964
471,18-11-1964
472,19-11-1964
473,20-11-1964
474,21-11-1964
475,23-11-1964
476,24-11-1964
477,25-11-1964
478,26-11-1964
479,27-11-1964
480,28-11-1964
481,30-11-1964
482,01-12-1964
483,02-12-1964
484,03-12-1964
