,dates
0,04-04-1947
1,05-05-1947
2,26-03-1948
3,06-09-1948
4,08-11-1948
5,29-11-1948
6,20-12-1948
7,15-04-1949
8,13-06-1949
9,07-04-1950
10,19-05-1950
11,25-09-1950
12,23-03-1951
13,20-06-1951
14,11-04-1952
15,06-06-1952
16,20-06-1952
17,21-06-1952
18,23-06-1952
19,24-06-1952
20,25-06-1952
21,26-06-1952
22,27-06-1952
23,28-06-1952
24,30-06-1952
25,19-09-1952
26,03-04-1953
27,01-05-1953
28,02-05-1953
29,04-05-1953
30,05-05-1953
31,06-05-1953
32,07-05-1953
33,08-05-1953
34,09-05-1953
35,11-05-1953
36,12-05-1953
37,13-05-1953
38,15-05-1953
39,16-05-1953
40,18-05-1953
41,19-05-1953
42,20-05-1953
43,21-05-1953
44,22-05-1953
45,23-05-1953
46,26-05-1953
47,27-05-1953
48,28-05-1953
49,29-05-1953
50,30-05-1953
51,01-06-1953
52,02-06-1953
53,03-06-1953
54,04-06-1953
55,05-06-1953
56,06-06-1953
57,08-06-1953
58,09-06-1953
59,10-06-1953
60,11-06-1953
61,12-06-1953
62,13-06-1953
63,15-06-1953
64,16-06-1953
65,17-06-1953
66,18-06-1953
67,19-06-1953
68,20-06-1953
69,22-06-1953
70,23-06-1953
71,24-06-1953
72,25-06-1953
73,26-06-1953
74,27-06-1953
75,29-06-1953
76,30-06-1953
77,01-07-1953
78,02-07-1953
79,03-07-1953
80,04-07-1953
81,06-07-1953
82,07-07-1953
83,08-07-1953
84,09-07-1953
85,10-07-1953
86,11-07-1953
87,13-07-1953
88,14-07-1953
89,15-07-1953
90,16-07-1953
91,17-07-1953
92,18-07-1953
93,20-07-1953
94,21-07-1953
95,22-07-1953
96,16-04-1954
97,16-07-1954
98,17-07-1954
99,19-07-1954
100,20-07-1954
101,21-07-1954
102,22-07-1954
103,23-07-1954
104,24-07-1954
105,26-07-1954
106,27-07-1954
107,28-07-1954
108,29-07-1954
109,30-07-1954
110,31-07-1954
111,02-08-1954
112,03-08-1954
113,04-08-1954
114,05-08-1954
115,06-08-1954
116,07-08-1954
117,09-08-1954
118,10-08-1954
119,11-08-1954
120,12-08-1954
121,13-08-1954
122,14-08-1954
123,16-08-1954
124,17-08-1954
125,18-08-1954
126,19-08-1954
127,20-08-1954
128,21-08-1954
129,23-08-1954
130,24-08-1954
131,25-08-1954
132,26-08-1954
133,27-08-1954
134,28-08-1954
135,30-08-1954
136,31-08-1954
137,08-04-1955
138,30-03-1956
139,13-06-1956
140,25-02-1957
141,19-04-1957
142,03-02-1958
143,10-10-1958
144,03-08-1959
145,10-10-1959
146,17-01-1961
147,21-01-1961
148,12-06-1961
149,12-09-1961
150,01-11-1961
151,08-10-1962
152,24-01-1964
153,16-05-1964
154,16-11-1964
155,01-03-1965
156,02-04-1965
157,05-04-1965
158,06-04-1965
159,07-04-1965
160,08-04-1965
161,09-04-1965
162,10-04-1965
163,12-04-1965
164,13-04-1965
165,14-04-1965
166,15-04-1965
167,16-04-1965
168,17-04-1965
169,15-10-1965
170,18-10-1965
171,10-03-1966
172,27-10-1966
173,31-05-1967
174,01-06-1967
175,02-06-1967
176,03-06-1967
177,29-07-1968
178,30-07-1968
179,31-07-1968
180,01-08-1968
181,02-08-1968
182,03-08-1968
183,05-08-1968
184,06-08-1968
185,07-08-1968
186,08-08-1968
187,09-08-1968
188,10-08-1968
189,12-08-1968
190,13-08-1968
191,14-08-1968
192,15-08-1968
193,16-08-1968
194,17-08-1968
195,19-08-1968
196,20-08-1968
197,21-08-1968
198,22-08-1968
199,23-08-1968
200,24-08-1968
201,26-08-1968
202,27-08-1968
203,28-08-1968
204,29-08-1968
205,30-08-1968
206,31-08-1968
207,02-09-1968
208,03-09-1968
209,04-09-1968
210,05-09-1968
211,06-09-1968
212,07-09-1968
213,09-09-1968
214,10-09-1968
215,11-09-1968
216,12-09-1968
217,13-09-1968
218,14-09-1968
219,16-09-1968
220,17-09-1968
221,18-09-1968
222,19-09-1968
223,20-09-1968
224,21-09-1968
225,21-07-1969
226,02-08-1969
227,14-08-1969
228,16-08-1969
229,18-08-1969
230,29-08-1969
231,01-09-1969
232,05-09-1969
233,08-09-1969
234,09-09-1969
235,24-12-1969
236,31-12-1969
237,02-01-1970
238,16-05-1970
239,19-10-1970
240,20-10-1970
241,21-10-1970
242,22-10-1970
243,23-10-1970
244,24-10-1970
245,26-10-1970
246,27-10-1970
247,28-10-1970
248,29-10-1970
249,30-10-1970
250,31-10-1970
251,02-11-1970
252,03-11-1970
253,04-11-1970
254,05-11-1970
255,06-11-1970
256,07-11-1970
257,09-11-1970
258,10-11-1970
259,11-11-1970
260,12-11-1970
261,13-11-1970
262,14-11-1970
263,16-11-1970
264,17-11-1970
265,18-11-1970
266,11-02-1971
267,20-02-1971
268,26-04-1971
269,13-03-1972
270,21-04-1972
271,23-08-1972
272,06-08-1973
273,05-09-1973
274,10-11-1973
275,19-04-1974
276,19-10-1974
277,06-09-1975
278,13-10-1975
279,14-10-1975
280,15-10-1975
281,16-10-1975
282,17-10-1975
283,18-10-1975
284,20-10-1975
285,21-10-1975
286,22-10-1975
287,23-10-1975
288,24-10-1975
289,25-10-1975
290,27-10-1975
291,28-10-1975
292,29-10-1975
293,30-10-1975
294,31-10-1975
295,01-11-1975
296,03-11-1975
297,04-11-1975
298,05-11-1975
299,06-11-1975
300,07-11-1975
301,08-11-1975
302,10-11-1975
303,11-11-1975
304,12-11-1975
305,13-11-1975
306,14-11-1975
307,15-11-1975
308,17-11-1975
309,18-11-1975
310,19-11-1975
311,20-11-1975
312,21-11-1975
313,14-01-1976
314,13-05-1976
315,11-03-1977
316,09-05-1977
317,08-10-1977
318,04-11-1977
319,05-05-1978
320,10-02-1979
321,12-02-1979
322,13-02-1979
323,14-02-1979
324,15-02-1979
325,16-02-1979
326,17-02-1979
327,19-02-1979
328,20-02-1979
329,21-02-1979
330,22-02-1979
331,23-02-1979
332,24-02-1979
333,26-02-1979
334,27-02-1979
335,28-02-1979
336,01-03-1979
337,02-03-1979
338,03-03-1979
339,05-03-1979
340,06-03-1979
341,07-03-1979
342,08-03-1979
343,09-03-1979
344,10-03-1979
345,12-03-1979
346,13-03-1979
347,14-03-1979
348,15-03-1979
349,09-07-1979
350,04-03-1980
351,20-09-1980
352,09-06-1981
353,13-06-1981
354,24-07-1981
355,21-09-1981
356,22-10-1981
357,30-11-1981
358,18-02-1982
359,03-03-1982
360,03-05-1982
361,18-01-1985
362,08-08-1985
363,05-03-1986
364,24-07-1986
365,01-09-1986
366,04-03-1989
367,06-03-1989
368,07-03-1989
369,12-11-1990
370,13-11-1990
371,02-07-1991
372,03-09-1992
373,04-09-1992
374,05-09-1992
375,07-09-1992
376,08-09-1992
377,09-09-1992
378,10-09-1992
379,11-09-1992
380,12-09-1992
381,14-09-1992
382,15-09-1992
383,16-09-1992
384,17-09-1992
385,18-09-1992
386,19-09-1992
387,21-09-1992
388,22-09-1992
389,23-09-1992
390,24-09-1992
391,25-09-1992
392,26-09-1992
393,28-09-1992
394,29-09-1992
395,30-09-1992
396,01-10-1992
397,02-10-1992
398,03-10-1992
399,05-10-1992
400,06-10-1992
401,07-10-1992
402,08-10-1992
403,09-10-1992
404,05-11-1992
405,06-02-1993
406,20-09-1993
407,12-02-1994
408,26-05-1994
409,06-06-1994
410,18-07-1994
411,13-08-1994
412,25-08-1994
413,31-10-1994
