,dates
0,03-10-1970
1,09-04-1971
2,07-09-1971
3,05-09-1973
4,26-08-1975
5,14-02-1977
6,15-02-1977
7,16-02-1977
8,24-10-1978
9,27-10-1979
10,04-03-1980
11,30-07-1981
12,03-03-1982
13,01-02-1983
14,09-03-1984
15,27-11-1986
16,23-05-1987
17,18-06-1988
18,10-03-1989
19,11-03-1989
20,31-05-1989
21,03-06-1989
22,01-02-1990
23,02-02-1990
24,03-02-1990
25,05-02-1990
26,06-02-1990
27,07-02-1990
28,08-02-1990
29,09-02-1990
30,10-02-1990
31,12-02-1990
32,13-02-1990
33,14-02-1990
34,15-02-1990
35,16-02-1990
36,17-02-1990
37,19-02-1990
38,20-02-1990
39,21-02-1990
40,22-02-1990
41,23-02-1990
42,24-02-1990
43,26-02-1990
44,27-02-1990
45,28-02-1990
46,01-06-1990
47,02-06-1990
48,05-06-1990
49,06-06-1990
50,07-06-1990
51,08-06-1990
52,09-06-1990
53,11-06-1990
54,12-06-1990
55,13-06-1990
56,14-06-1990
57,15-06-1990
58,16-06-1990
59,18-06-1990
60,19-06-1990
61,20-06-1990
62,21-06-1990
63,22-06-1990
64,23-06-1990
65,25-06-1990
66,26-06-1990
67,27-06-1990
68,28-06-1990
69,29-06-1990
70,30-06-1990
71,01-10-1990
72,02-10-1990
73,03-10-1990
74,04-10-1990
75,05-10-1990
76,06-10-1990
77,08-10-1990
78,09-10-1990
79,10-10-1990
80,11-10-1990
81,12-10-1990
82,13-10-1990
83,15-10-1990
84,16-10-1990
85,17-10-1990
86,18-10-1990
87,19-10-1990
88,20-10-1990
89,22-10-1990
90,23-10-1990
91,24-10-1990
92,25-10-1990
93,26-10-1990
94,27-10-1990
95,29-10-1990
96,30-10-1990
97,31-10-1990
98,01-02-1993
99,02-02-1993
100,03-02-1993
101,04-02-1993
102,05-02-1993
103,06-02-1993
104,08-02-1993
105,09-02-1993
106,10-02-1993
107,11-02-1993
108,12-02-1993
109,13-02-1993
110,15-02-1993
111,16-02-1993
112,17-02-1993
113,18-02-1993
114,19-02-1993
115,20-02-1993
116,22-02-1993
117,23-02-1993
118,24-02-1993
119,25-02-1993
120,26-02-1993
121,27-02-1993
122,01-06-1993
123,02-06-1993
124,03-06-1993
125,04-06-1993
126,05-06-1993
127,07-06-1993
128,08-06-1993
129,09-06-1993
130,10-06-1993
131,11-06-1993
132,12-06-1993
133,14-06-1993
134,15-06-1993
135,16-06-1993
136,17-06-1993
137,18-06-1993
138,19-06-1993
139,21-06-1993
140,22-06-1993
141,23-06-1993
142,24-06-1993
143,25-06-1993
144,26-06-1993
145,28-06-1993
146,29-06-1993
147,30-06-1993
148,01-10-1993
149,02-10-1993
150,04-10-1993
151,05-10-1993
152,06-10-1993
153,07-10-1993
154,08-10-1993
155,09-10-1993
156,11-10-1993
157,12-10-1993
158,13-10-1993
159,14-10-1993
160,15-10-1993
161,16-10-1993
162,18-10-1993
163,19-10-1993
164,20-10-1993
165,21-10-1993
166,22-10-1993
167,23-10-1993
168,25-10-1993
169,26-10-1993
170,27-10-1993
171,28-10-1993
172,29-10-1993
173,30-10-1993
