,dates
0,02-05-1945
1,03-05-1945
2,09-05-1945
3,11-05-1945
4,12-05-1945
5,15-05-1945
6,01-06-1945
7,02-06-1945
8,04-06-1945
9,05-06-1945
10,06-06-1945
11,07-06-1945
12,08-06-1945
13,09-06-1945
14,11-06-1945
15,12-06-1945
16,13-06-1945
17,14-06-1945
18,15-06-1945
19,16-06-1945
20,18-06-1945
21,19-06-1945
22,20-06-1945
23,21-06-1945
24,22-06-1945
25,23-06-1945
26,25-06-1945
27,26-06-1945
28,27-06-1945
29,28-06-1945
30,29-06-1945
31,30-06-1945
32,02-07-1945
33,03-07-1945
34,04-07-1945
35,05-07-1945
36,06-07-1945
37,07-07-1945
38,09-07-1945
39,10-07-1945
40,11-07-1945
41,12-07-1945
42,13-07-1945
43,14-07-1945
44,16-07-1945
45,17-07-1945
46,18-07-1945
47,19-07-1945
48,20-07-1945
49,21-07-1945
50,23-07-1945
51,24-07-1945
52,25-07-1945
53,26-07-1945
54,27-07-1945
55,28-07-1945
56,30-07-1945
57,31-07-1945
58,01-08-1945
59,02-08-1945
60,03-08-1945
61,04-08-1945
62,06-08-1945
63,07-08-1945
64,08-08-1945
65,09-08-1945
66,10-08-1945
67,11-08-1945
68,13-08-1945
69,14-08-1945
70,15-08-1945
71,16-08-1945
72,17-08-1945
73,18-08-1945
74,20-08-1945
75,21-08-1945
76,22-08-1945
77,23-08-1945
78,24-08-1945
79,25-08-1945
80,27-08-1945
81,28-08-1945
82,29-08-1945
83,30-08-1945
84,01-09-1945
85,03-09-1945
86,04-09-1945
87,05-09-1945
88,06-09-1945
89,07-09-1945
90,08-09-1945
91,10-09-1945
92,11-09-1945
93,12-09-1945
94,13-09-1945
95,14-09-1945
96,15-09-1945
97,17-09-1945
98,18-09-1945
99,19-09-1945
100,20-09-1945
101,21-09-1945
102,22-09-1945
103,24-09-1945
104,25-09-1945
105,26-09-1945
106,27-09-1945
107,28-09-1945
108,29-09-1945
109,01-10-1945
110,02-10-1945
111,03-10-1945
112,04-10-1945
113,05-10-1945
114,06-10-1945
115,08-10-1945
116,09-10-1945
117,10-10-1945
118,11-10-1945
119,12-10-1945
120,13-10-1945
121,15-10-1945
122,16-10-1945
123,17-10-1945
124,18-10-1945
125,19-10-1945
126,20-10-1945
127,22-10-1945
128,23-10-1945
129,24-10-1945
130,25-10-1945
131,26-10-1945
132,27-10-1945
133,29-10-1945
134,30-10-1945
135,31-10-1945
136,01-11-1945
137,02-11-1945
138,03-11-1945
139,05-11-1945
140,06-11-1945
141,07-11-1945
142,08-11-1945
143,09-11-1945
144,10-11-1945
145,12-11-1945
146,13-11-1945
147,14-11-1945
148,15-11-1945
149,16-11-1945
150,17-11-1945
151,19-11-1945
152,20-11-1945
153,21-11-1945
154,22-11-1945
155,23-11-1945
156,24-11-1945
157,26-11-1945
158,27-11-1945
159,28-11-1945
160,29-11-1945
161,30-11-1945
162,01-12-1945
163,03-12-1945
164,04-12-1945
165,05-12-1945
166,06-12-1945
167,07-12-1945
168,08-12-1945
169,10-12-1945
170,11-12-1945
171,12-12-1945
172,13-12-1945
173,14-12-1945
174,15-12-1945
175,17-12-1945
176,18-12-1945
177,19-12-1945
178,20-12-1945
179,21-12-1945
180,22-12-1945
181,24-12-1945
182,27-12-1945
183,28-12-1945
184,29-12-1945
185,31-12-1945
186,19-04-1946
187,04-05-1946
188,04-04-1947
189,05-05-1947
190,26-03-1948
191,06-09-1948
192,12-04-1949
193,15-04-1949
194,07-04-1950
195,23-03-1951
196,11-04-1952
197,03-04-1953
198,16-04-1954
199,05-05-1954
200,19-10-1954
201,08-04-1955
202,30-03-1956
203,05-05-1956
204,22-09-1956
205,19-04-1957
206,04-04-1958
207,27-03-1959
208,14-05-1959
209,21-09-1959
210,15-04-1960
211,31-03-1961
212,20-04-1962
213,18-01-1963
214,12-04-1963
215,04-06-1963
216,20-09-1963
217,21-09-1963
218,23-09-1963
219,24-09-1963
220,12-10-1963
221,27-03-1964
222,01-09-1965
223,02-09-1965
224,03-09-1965
225,04-09-1965
226,06-09-1965
227,07-09-1965
228,08-09-1965
229,09-09-1965
230,10-09-1965
231,11-09-1965
232,13-09-1965
233,14-09-1965
234,15-09-1965
235,16-09-1965
236,17-09-1965
237,18-09-1965
238,20-09-1965
239,21-09-1965
240,22-09-1965
241,23-09-1965
242,24-09-1965
243,25-09-1965
244,27-09-1965
245,28-09-1965
246,29-09-1965
247,30-09-1965
248,01-10-1965
249,02-10-1965
250,04-10-1965
251,05-10-1965
252,06-10-1965
253,07-10-1965
254,08-10-1965
255,09-10-1965
256,11-10-1965
257,12-10-1965
258,13-10-1965
259,14-10-1965
260,15-10-1965
261,16-10-1965
262,18-10-1965
263,19-10-1965
264,20-10-1965
265,21-10-1965
266,22-10-1965
267,23-10-1965
268,25-10-1965
269,26-10-1965
270,27-10-1965
271,28-10-1965
272,29-10-1965
273,30-10-1965
274,14-03-1967
275,27-10-1971
276,04-02-1975
277,20-04-1976
278,07-10-1977
279,04-03-1980
280,29-12-1980
281,04-09-1981
282,16-12-1981
283,01-02-1982
284,02-02-1982
285,03-02-1982
286,04-02-1982
287,05-02-1982
288,06-02-1982
289,08-02-1982
290,09-02-1982
291,10-02-1982
292,11-02-1982
293,12-02-1982
294,13-02-1982
295,15-02-1982
296,16-02-1982
297,17-02-1982
298,18-02-1982
299,19-02-1982
300,20-02-1982
301,22-02-1982
302,23-02-1982
303,24-02-1982
304,25-02-1982
305,26-02-1982
306,27-02-1982
307,03-03-1982
308,19-12-1984
309,09-04-1985
310,01-10-1987
311,02-10-1987
312,03-10-1987
313,05-10-1987
314,06-10-1987
315,07-10-1987
316,08-10-1987
317,09-10-1987
318,10-10-1987
319,12-10-1987
320,13-10-1987
321,14-10-1987
322,15-10-1987
323,16-10-1987
324,17-10-1987
325,19-10-1987
326,20-10-1987
327,21-10-1987
328,22-10-1987
329,23-10-1987
330,24-10-1987
331,26-10-1987
332,27-10-1987
333,28-10-1987
334,29-10-1987
335,30-10-1987
336,31-10-1987
337,25-02-1989
338,05-05-1989
339,02-03-1992
340,03-03-1992
341,04-03-1992
342,05-03-1992
343,06-03-1992
344,07-03-1992
345,09-03-1992
346,10-03-1992
347,11-03-1992
348,12-03-1992
349,13-03-1992
350,14-03-1992
351,16-03-1992
352,17-03-1992
353,18-03-1992
354,19-03-1992
355,20-03-1992
356,21-03-1992
357,23-03-1992
358,24-03-1992
359,25-03-1992
360,26-03-1992
361,27-03-1992
362,28-03-1992
363,30-03-1992
364,31-03-1992
365,02-11-1992
366,03-11-1992
367,04-11-1992
368,05-11-1992
369,06-11-1992
370,07-11-1992
371,09-11-1992
372,10-11-1992
373,11-11-1992
374,12-11-1992
375,13-11-1992
376,14-11-1992
377,16-11-1992
378,17-11-1992
379,18-11-1992
380,19-11-1992
381,20-11-1992
382,21-11-1992
383,23-11-1992
384,24-11-1992
385,25-11-1992
386,26-11-1992
387,27-11-1992
388,28-11-1992
389,30-11-1992
390,08-12-1993
