,dates
0,01-11-1951
1,22-03-1952
2,31-03-1953
3,28-01-1954
4,18-08-1954
5,23-08-1954
6,07-09-1954
7,30-09-1954
8,16-11-1955
9,19-01-1956
10,23-01-1956
11,04-07-1956
12,22-09-1956
13,27-09-1956
14,03-01-1957
15,28-06-1958
16,28-10-1958
17,21-09-1959
18,18-01-1960
19,20-08-1960
20,21-09-1963
21,23-09-1963
22,24-09-1963
23,11-04-1967
24,31-10-1967
25,31-12-1968
26,07-03-1969
27,17-03-1969
28,16-04-1969
29,16-09-1969
30,29-09-1969
31,25-03-1970
32,17-04-1970
33,03-07-1970
34,09-07-1970
35,29-09-1972
36,09-05-1974
37,08-07-1974
38,03-09-1977
39,16-01-1978
40,24-01-1979
41,04-03-1980
42,24-10-1980
43,28-06-1988
44,02-09-1989
45,04-09-1989
46,05-09-1989
47,16-05-1991
48,29-03-1993
49,24-06-1993
50,21-08-1993
51,18-09-1993
52,14-10-1993
53,31-12-1993
54,29-01-1994
