,dates
0,04-03-1946
1,19-04-1946
2,04-05-1946
3,22-05-1946
4,07-06-1946
5,21-06-1946
6,24-06-1946
7,27-06-1946
8,20-03-1947
9,24-03-1947
10,04-04-1947
11,05-05-1947
12,09-05-1947
13,12-05-1947
14,12-06-1947
15,13-06-1947
16,17-06-1947
17,01-08-1947
18,14-10-1947
19,31-10-1947
20,01-12-1947
21,02-12-1947
22,03-12-1947
23,04-02-1948
24,19-03-1948
25,26-03-1948
26,06-04-1948
27,08-06-1948
28,06-09-1948
29,05-04-1949
30,15-04-1949
31,10-05-1949
32,03-08-1949
33,23-08-1949
34,26-10-1949
35,07-04-1950
36,23-03-1951
37,17-07-1951
38,18-07-1951
39,19-07-1951
40,11-04-1952
41,05-08-1952
42,02-09-1952
43,03-04-1953
44,19-12-1953
45,16-04-1954
46,08-04-1955
47,18-11-1955
48,24-03-1956
49,30-03-1956
50,22-09-1956
51,19-04-1957
52,04-04-1958
53,27-03-1959
54,21-09-1959
55,01-04-1960
56,15-04-1960
57,22-04-1960
58,31-03-1961
59,08-07-1961
60,10-07-1961
61,20-04-1962
62,12-04-1963
63,10-08-1963
64,26-10-1963
65,24-02-1964
66,27-03-1964
67,31-03-1964
68,06-04-1964
69,06-06-1964
70,18-07-1964
71,22-08-1964
72,16-04-1965
73,21-01-1966
74,24-01-1966
75,10-03-1966
76,08-04-1966
77,02-02-1967
78,24-03-1967
79,12-01-1968
80,12-04-1968
81,05-09-1973
82,01-05-1974
83,21-02-1979
84,05-03-1980
85,04-03-1982
86,19-12-1984
87,14-07-1986
88,31-01-1989
89,25-02-1989
90,29-02-1992
91,30-11-1992
92,30-01-1993
