,dates
0,14-05-1945
1,15-05-1945
2,16-05-1945
3,17-05-1945
4,18-05-1945
5,19-05-1945
6,22-05-1945
7,23-05-1945
8,24-05-1945
9,25-05-1945
10,26-05-1945
11,28-05-1945
12,29-05-1945
13,30-05-1945
14,31-05-1945
15,01-06-1945
16,02-06-1945
17,04-06-1945
18,05-06-1945
19,06-06-1945
20,07-06-1945
21,08-06-1945
22,09-06-1945
23,11-06-1945
24,12-06-1945
25,13-06-1945
26,14-06-1945
27,15-06-1945
28,16-06-1945
29,18-06-1945
30,19-06-1945
31,20-06-1945
32,21-06-1945
33,22-06-1945
34,23-06-1945
35,25-06-1945
36,26-06-1945
37,27-06-1945
38,28-06-1945
39,29-06-1945
40,30-06-1945
41,02-07-1945
42,03-07-1945
43,04-07-1945
44,05-07-1945
45,06-07-1945
46,07-07-1945
47,09-07-1945
48,10-07-1945
49,11-07-1945
50,12-07-1945
51,13-07-1945
52,14-07-1945
53,16-07-1945
54,17-07-1945
55,18-07-1945
56,19-07-1945
57,20-07-1945
58,26-07-1945
59,01-08-1945
60,03-08-1945
61,06-08-1945
62,14-08-1945
63,15-08-1945
64,18-08-1945
65,29-08-1945
66,30-08-1945
67,05-10-1945
68,06-10-1945
69,08-10-1945
70,12-10-1945
71,27-10-1945
72,01-11-1945
73,10-12-1945
74,14-12-1945
75,22-12-1945
76,02-01-1946
77,03-01-1946
78,02-02-1946
79,12-02-1946
80,28-02-1946
81,16-03-1946
82,15-04-1946
83,16-04-1946
84,19-04-1946
85,04-05-1946
86,13-05-1946
87,29-05-1946
88,31-05-1946
89,20-07-1946
90,15-08-1946
91,19-08-1946
92,20-08-1946
93,02-09-1946
94,10-09-1946
95,20-09-1946
96,23-10-1946
97,01-11-1946
98,04-12-1946
99,06-12-1946
100,10-12-1946
101,09-01-1947
102,25-01-1947
103,01-02-1947
104,06-02-1947
105,11-03-1947
106,05-05-1947
107,17-07-1947
108,15-08-1947
109,06-10-1947
110,28-10-1947
111,01-11-1947
112,03-11-1947
113,24-01-1948
114,31-01-1948
115,03-02-1948
116,03-05-1948
117,01-09-1948
118,06-09-1948
119,01-11-1948
120,26-04-1949
121,20-07-1949
122,21-07-1949
123,15-08-1949
124,17-09-1949
125,01-11-1949
126,19-12-1949
127,24-12-1949
128,18-02-1950
129,11-03-1950
130,27-04-1950
131,05-06-1950
132,01-07-1950
133,03-07-1950
134,04-07-1950
135,05-07-1950
136,06-07-1950
137,07-07-1950
138,08-07-1950
139,10-07-1950
140,11-07-1950
141,12-07-1950
142,13-07-1950
