,dates
0,27-04-1945
1,28-04-1945
2,30-04-1945
3,01-05-1945
4,02-05-1945
5,03-05-1945
6,04-05-1945
7,12-05-1945
8,15-05-1945
9,18-05-1945
10,23-05-1945
11,26-05-1945
12,29-05-1945
13,31-05-1945
14,02-06-1945
15,05-06-1945
16,07-06-1945
17,29-06-1945
18,16-08-1945
19,22-11-1945
20,24-12-1945
21,19-04-1946
22,01-05-1946
23,04-05-1946
24,04-04-1947
25,01-05-1947
26,05-05-1947
27,22-01-1948
28,26-03-1948
29,01-05-1948
30,06-09-1948
31,15-04-1949
32,01-04-1950
33,07-04-1950
34,23-03-1951
35,01-05-1951
36,19-07-1951
37,16-01-1952
38,11-04-1952
39,01-05-1952
40,20-10-1952
41,03-04-1953
42,01-05-1953
43,12-11-1953
44,02-01-1954
45,16-04-1954
46,01-05-1954
47,01-05-1956
48,05-05-1956
49,01-05-1957
50,11-10-1957
51,27-12-1957
52,01-05-1958
53,01-05-1959
54,21-09-1959
55,09-09-1961
56,01-05-1962
57,31-12-1962
58,01-05-1963
59,08-01-1964
60,01-05-1964
61,29-09-1964
62,07-10-1964
63,17-10-1964
64,01-05-1965
65,23-02-1967
66,13-04-1968
67,01-05-1968
68,27-12-1968
69,14-02-1977
70,15-02-1977
71,16-02-1977
72,31-12-1979
73,07-01-1980
74,03-03-1982
75,18-10-1982
76,09-03-1984
77,11-03-1989
